full=12549 parties · H1=6275 · H2=6274

############ COMP_CLASH_RULES (n>=40) ############
edge%	obs%	att%	n	z	q(BH)	H1	H2	stable	règle
-9.76	40.54	50.3	148	-2.37	0.2145	-16.81	-3.6	true	(a, d) => norm(a.name) === norm("Galio") && (d.burst || 0) >= 0.55 && (d.ap ||
-4.64	44.9	49.54	628	-2.33	0.2145	-12.92	-1.43	true	(a, d) => hasMech(a, "longRangeAdc") && hasMech(d, "shortRangeAdc")
-4.46	45.84	50.3	397	-1.78	0.2814	-5.27	1.38	false	(a, d) => norm(a.name) === norm("Ryze") && hasMech(d, "splitPush")
-3.97	46.25	50.22	640	-2.01	0.2284	-7.84	-0.26	true	(a, d) => hasMech(a, "peelTank") && hasMech(d, "diveAssassin")
-3.69	46.26	49.95	802	-2.09	0.2145	-2.66	-4.68	true	(a, d) => hasMech(a, "windwall") && (hasMech(d, "siegePoke") || d.tags?.has?.(
-2.77	47.27	50.04	55	-0.41	0.8318	-1.14	-7.68	true	(a, d) => norm(a.name) === norm("Galio") && hasMech(d, "diveAssassin")
-1.56	48.39	49.95	8769	-2.92	0.1427	-2.14	-0.87	true	(a, d) => (a.tags?.has?.("poke") || hasMech(a, "siegePoke")) && (d.tags?.has?.
-1.43	48.57	50	6051	-2.22	0.2145	-1.52	-1.28	true	(a, d) => hasMech(a, "disengage") && hasMech(d, "hardEngage")
-1.29	48.88	50.18	2328	-1.25	0.4776	-5.73	1.28	false	(a, d) => subOf(a) === "Vanguard" && subOf(d) === "Burst"
-1.11	48.94	50.06	1798	-0.95	0.6681	-1.76	-0.72	true	(a, d) => norm(a.name) === norm("Trundle") && (d.tank || 0) >= 0.5
-1.07	49.12	50.19	1244	-0.75	0.759	-3.15	0.26	false	(a, d) => subOf(a) === "Enchanter" && subOf(d) === "Assassin"
-0.91	49.06	49.97	481	-0.4	0.8318	1.47	-2.43	false	(a, d) => hasMech(a, "cleansePeel") && (d.spellSetup || 0) >= 0.5
-0.77	49.29	50.06	2471	-0.77	0.759	-2.5	1.4	false	(a, d) => (a.peel || 0) >= 0.55 && hasMech(d, "diveAssassin")
-0.45	49.53	49.98	2794	-0.48	0.8318	1.02	-1.19	false	(a, d) => (a.peel || 0) >= 0.55 && (d.burst || 0) >= 0.55 && d.isMarksman
-0.07	50.17	50.24	1172	-0.05	0.9712	-6.01	3.84	false	(a, d) => subOf(a) === "Vanguard" && subOf(d) === "Assassin"
0.02	49.86	49.83	8996	0.06	0.9712	-0.1	0.1	false	(a, d) => (a.burst || 0) >= 0.55 && d.isMarksman && !hasMech(d, "disengage")
0.06	49.94	49.88	903	0.04	0.9712	0.04	0.12	true	(a, d) => hasMech(a, "pointCc") && hasMech(d, "diveAssassin")
0.19	50.1	49.91	1046	0.12	0.9712	2.35	-2.07	false	(a, d) => hasMech(a, "aoeMage") && hasMech(d, "enchanter")
0.2	50.15	49.95	333	0.07	0.9712	-5.47	4.65	false	(a, d) => hasMech(a, "spellShield") && hasMech(d, "hookCc")
0.26	50.28	50.02	3691	0.32	0.8565	-0.7	0.68	false	(a, d) => hasMech(a, "antiDash") && (d.tags?.has?.("dive") || hasMech(d, "dive
0.29	50.44	50.15	3279	0.33	0.8565	0.54	0.11	true	(a, d) => hasMech(a, "zoneControl") && d.isMarksman && !hasMech(d, "disengage"
0.35	50.23	49.88	7006	0.59	0.8087	2.01	-0.9	false	(a, d) => subOf(a) === "Marksman" && ["Vanguard", "Warden"].includes(subOf(d))
0.45	50.63	50.18	6656	0.73	0.759	0.78	0.24	true	(a, d) => hasMech(a, "tankShred") && (d.tank || 0) >= 0.5
0.54	50.58	50.04	10265	1.09	0.591	0.57	0.44	true	(a, d) => (a.peel || 0) >= 0.55 && (d.engage || 0) >= 0.5
0.54	50.5	49.96	5226	0.78	0.759	0.48	0.69	true	(a, d) => hasMech(a, "invadeEarly") && (d.early || 0) < 0.35
0.55	50.45	49.9	1659	0.45	0.8318	0.56	0.56	true	(a, d) => subOf(a) === "Assassin" && ["Artillery", "Burst"].includes(subOf(d))
0.56	50.74	50.18	3587	0.67	0.7773	1.93	0.03	true	(a, d) => hasMech(a, "zoneControl") && (d.tags?.has?.("dive") || hasMech(d, "d
0.64	50.54	49.9	6033	0.99	0.6562	2.42	-0.67	false	(a, d) => ["Juggernaut", "Diver"].includes(subOf(a)) && ["Vanguard", "Warden"]
0.79	50.74	49.95	739	0.43	0.8318	1.12	-0.03	false	(a, d) => hasMech(a, "aoeMage") && hasMech(d, "stealth")
1.26	51.58	50.31	4056	1.62	0.2953	2.04	-0.03	false	(a, d) => hasMech(a, "globalUlt") && hasMech(d, "immobileCarry")
1.4	51.31	49.91	5872	2.15	0.2145	1.77	1.07	true	(a, d) => hasMech(a, "splitPush") && (d.tank || 0) >= 0.6 && (d.scaling || 0) 
1.67	51.82	50.15	3939	2.1	0.2145	2.22	1.22	true	(a, d) => hasMech(a, "percentHp") && (d.tank || 0) >= 0.55
2.11	52.18	50.06	1792	1.79	0.2814	2.6	1.95	true	(a, d) => hasMech(a, "spellShield") && (d.engage || 0) >= 0.5 && (d.spellSetup
2.38	52.54	50.16	1140	1.61	0.2953	3	1.13	true	(a, d) => hasMech(a, "diveAssassin") && hasMech(d, "immobileCarry")
2.57	52.53	49.97	1342	1.88	0.2766	3.44	1.43	true	(a, d) => hasMech(a, "interruptChannel") && hasMech(d, "channelUlt")
2.66	52.63	49.97	152	0.66	0.7773	7.16	-3.72	false	(a, d) => norm(a.name) === norm("Rumble") && d.isMarksman && !hasMech(d, "dise
2.83	52.71	49.88	850	1.65	0.2953	1.48	4.98	true	(a, d) => hasMech(a, "revealStealth") && hasMech(d, "stealth")
3.12	53.66	50.54	82	0.57	0.8087	13.43	-0.89	false	(a, d) => norm(a.name) === norm("Séraphine") && hasMech(d, "diveAssassin")
8.61	58.82	50.22	68	1.42	0.3765	2.96	13.56	true	(a, d) => norm(a.name) === norm("Bard") && hasMech(d, "immobileCarry")
9.02	59.21	50.19	76	1.57	0.2967	1.83	12.34	true	(a, d) => norm(a.name) === norm("Caitlyn") && hasMech(d, "shortRangeAdc")
→ 16/41 règles au signe inversé (edge < 0)

############ CURATED_COUNTERS toutes positions (n>=40) ############
edge%	obs%	att%	n	z	q(BH)	H1	H2	stable	règle
-9.51	40.16	49.67	127	-2.14	0.2289	-8.07	-9.48	true	Nautilus > Kalista
-6.77	43.48	50.25	69	-1.12	0.6243	-11.17	-2.09	true	Poppy > Jarvan IV
-2.32	47.27	49.6	55	-0.35	0.8836	-2.68	3.81	null	Syndra > Orianna
-1.29	48.87	50.17	133	-0.3	0.8836	-2.88	-0.93	true	Trundle > Ornn
-0.59	49.35	49.94	154	-0.15	0.8836	-19.86	1.63	false	Poppy > Zeri
1.45	51.61	50.16	62	0.23	0.8836	-7.38	9.05	false	Gwen > Aatrox
2.05	51.74	49.69	201	0.58	0.8836	48.88	2	null	Trundle > Sejuani
3.45	54.17	50.72	48	0.48	0.8836	5.55	-1.09	false	Nocturne > Aphelios
6.32	55.76	49.44	269	2.07	0.2289	-2.71	10.89	false	Nautilus > Lucian
7.99	57.5	49.51	40	1.01	0.6243	null	8.26	null	Olaf > Sejuani
8.64	58.33	49.69	48	1.2	0.6243	5.45	10.44	true	Poppy > Camille
8.95	59.04	50.09	83	1.63	0.4118	4.87	20.52	true	Ryze > Trundle
→ 5/12 règles au signe inversé (edge < 0)

############ CURATED_COUNTERS même lane (n>=40) ############
edge%	obs%	att%	n	z	q(BH)	H1	H2	stable	règle
-5.51	44	49.51	50	-0.78	0.7662	-6.06	3.81	null	Syndra > Orianna
-3.75	46.43	50.18	56	-0.56	0.7662	-11.4	5.85	false	Poppy > Jarvan IV
-0.94	48.57	49.51	70	-0.16	0.875	null	-0.67	null	Trundle > Sejuani
7.79	57.69	49.91	52	1.12	0.7662	4.89	9.85	true	Gwen > Aatrox
→ 3/4 règles au signe inversé (edge < 0)
